nct_id,study_status,shap_value,feature_value,direction,snippet,dim,mean_abs
NCT05707195,1,0.014603857083657204,-0.082544982,high,"Learning Excellence Program and Improvement of Quality Care | Satisfaction, Patient | Improving the quality of care is a daily goal in pediatric intensive care units. Measuring patient and family satisfaction is recognized as an indicator o…",73,0.003994311621531016
NCT05902546,1,0.014536662670921033,-0.100551255,high,Effect of HIIT Vs Moderate Intensity Aerobic Exercise on Insulin Resistance in Type 2 DM | Diabetes Mellitus|Insulin Resistance | Comparing between the efficacy of high intensity interval training and moderate intensity aerobic exercises on…,73,0.003994311621531016
NCT05963204,1,0.014487599601181955,0.038357042,high,A Study to Evaluate the Effects for Midface Improvement When Pairing a Biostimulator with a Skincare Regimen | Photodamaged Skin|Volume Deficiency of the Midface | To assess skin structural change in midface after treatment with a biostimul…,73,0.003994311621531016
NCT05601531,1,0.013323866093942626,-0.001605358,high,"Autologous Tooth Root in Ridge Preservation | Alveolar Ridge Preservation | Use your extracted teeth for routine dental care to make an autologous root slice, cover it in your extraction cavity, and give you Vit.D3 locally with the bone mat…",73,0.003994311621531016
NCT05856071,1,0.013198027735745655,-0.177774683,high,TEL and Clam Shell Exercises Affect After ACL | Knee Ligament Injury | The purpose of this study to determine the effects of the addition of isolated hip strengthening exercises to traditional rehabilitation after Anterior cruciate ligament…,73,0.003994311621531016
NCT05948098,1,0.012703145856421542,-0.072849639,high,"Facilitated Tucking Position, Gentle Human Touch Practices and Pain | Pain|Premature | This prospective study is planned as a randomized controlled study to evaluate the effect of facilitated tucking position and gentle human touch practice…",73,0.003994311621531016
NCT06204796,1,0.01260404781609509,0.056639653,high,The Role of Vitamin D in Amelioration of Oral Lichen Planus and Its Effect on Salivary IFN-γ Level | Oral Lichen Planus|Vitamin D Deficiency | The goal of this clinical trial is to compare between the use of vitamin D supplement in conjunct…,73,0.003994311621531016
NCT05742633,1,0.012309572720719189,-0.030401533,high,Comparative Effect of Active Release Technique Versus Self-myofascial Release in Improving Piriformis Syndrome | Piriformis Syndrome | The goal of this Randomized controlled trial is to examine comparative effect of active release technique…,73,0.003994311621531016
NCT05973695,1,-0.006201618653549303,-0.095527142,low,"Effects of Clamshell Versus Gluteal Bridge Exercises | Lower Crossed Syndrome | Gluteal amnesia is a ""condition"" where the individual is believed to have lost the ability to contract their gluteal muscles - generally the gluteus maximus, th…",73,0.003994311621531016
NCT06850155,1,-0.006182162044865436,-0.110253535,low,"Gluteal Sling Release on Gluteal Dysfunction After in Primary Total Hip Arthroplasty | Hip Osteoarthritis|Osteoarthritis, Hip|Gluteus Maximus Muscle Atrophy|Muscle Weakness Condition|Fatty Degeneration | This study investigates the effects …",73,0.003994311621531016
